epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3400.08,0.70436,1.62065,0.98129,0.9236,0.95659,0.96001,0.81918,0.57456,1.03797,0.89592,0.000414583,0.000414583,0.000414583
2,6188.97,0.70659,0.99265,0.99164,0.86235,0.89095,0.89897,0.76942,0.61378,1.0264,0.91523,0.000814791,0.000814791,0.000814791
3,8735.85,0.70404,0.8259,0.99179,0.92266,0.95554,0.97136,0.83079,0.58365,0.68785,0.90724,0.0011985,0.0011985,0.0011985
4,11167.4,0.69699,0.73147,0.99842,0.90665,0.92219,0.95097,0.81576,0.58763,0.65156,0.92367,0.00117575,0.00117575,0.00117575
5,13598.9,0.66774,0.65801,0.98518,0.90123,0.92286,0.95265,0.81091,0.60751,0.64698,0.92715,0.001151,0.001151,0.001151
6,16022.5,0.67685,0.59954,0.98253,0.95298,0.97905,0.9782,0.85422,0.54661,0.47602,0.89881,0.00112625,0.00112625,0.00112625
7,18449,0.64857,0.56921,0.97697,0.95926,0.97798,0.98039,0.85673,0.5437,0.42137,0.90291,0.0011015,0.0011015,0.0011015
8,20864.5,0.63988,0.53353,0.97382,0.96042,0.9846,0.98779,0.87227,0.53888,0.40102,0.89787,0.00107675,0.00107675,0.00107675
9,24881.8,0.62578,0.50124,0.96499,0.95876,0.98573,0.98381,0.87087,0.51883,0.40018,0.89569,0.001052,0.001052,0.001052
